Core-ID,CDISC Rule ID,Error Message,Description,Standard Name,Standard Version,Scope,Executability,Status
CDISC.SDTMIG.CG0431,CG0431,Variable is expected and data is collected as per define-xml document but variable has no data.,"Raise an error when a variable is expected, data is collected as per define-xml document but variable has no data.",SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000746,FB5801,Ethnicity Term 'Spanish origin' (SUPPDM.CETHNIC) is collected but is not mapped as ETHNIC = HISPANIC OR LATINO.,"When ethnicity term 'Spanish origin' is collected (SUPPDM.CETHNIC), it should be mapped to Ethnicity (ETHNIC) 'HISPANIC OR LATINO' in the DM dataset",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000699,FB3001,"Standards units are inconsistent within the same test (category, sub-category, specimen and method)","Standard units should be consistent within the same assessment (having the same --TESTCD, --CAT, --SCAT, --SPEC, --METHOD values)","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS"",""FINDINGS ABOUT""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CDISC.SDTMIG.CG0097,CG0097,CMTRT was not collected on CRF as per define.xml nor 'Assigned',Trigger error if CMTRT was not collected on CRF as per define.xml and is not 'Assigned' as per define.xml,SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""CM""]}}",Fully Executable,Draft
,FB4302,'--ENDTC value is populated but --DTC is missing.,End Date/Time of Observation (--ENDTC) is populated and related Date/Time of Collection (--DTC) is also populated.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0015,CG0015,Variable is permissible and data is collected as per define-xml document but variable is not present in the dataset or variable has no data.,"Raise an error when a variable is permissible, data is collected as per define-xml document but variable is not present in the dataset or has no data.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000846,CG0531,RACE in DM equals 'MULTIPLE' but multiple races are not collected in SUPPDM.,Part C - Raise an error when RACE in DM equals 'MULTIPLE' but no multiple RACE records are present in SUPPDM.,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
FDA.SDTMIG.FB3211,FB3211,'--STDTC falls after --DTC.,Start Date/Time of Observation (--STDTC) is prior or equal to Date/Time of Collection (--DTC),"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""EVENTS"",""INTERVENTIONS""]},""Domains"":{""Exclude"":[""BE""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0559,CG0559,"Parameter is normalized by dose, and the value in PPSTRESU is not in codelist PKUDMG nor in codelist PKUDUG.",Trigger error when parameter is normalized by dose and value in PPSTRESU is not for a parameter normalized by dose.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0560,CG0560,"Parameter is normalized by weight, and the value in PPSTRESU is not in codelist PKUWG nor in codelist PKUWKG.",Trigger error when parameter is normalized by weight and value in PPSTRESU is not for a parameter not normalized by weight.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
